car_id,manufacturer,model,variant,folder,hero,front,rear,side,interior,dashboard,engine,wheels,detail
39,Dodge,Viper ACR,,39_Dodge_Viper_ACR,39_Dodge_Viper_ACR/39_dodge_viper_acr_hero.jpg,39_Dodge_Viper_ACR/39_dodge_viper_acr_front.jpg,39_Dodge_Viper_ACR/39_dodge_viper_acr_rear.jpg,39_Dodge_Viper_ACR/39_dodge_viper_acr_side.jpg,39_Dodge_Viper_ACR/39_dodge_viper_acr_interior.jpg,39_Dodge_Viper_ACR/39_dodge_viper_acr_dashboard.jpg,39_Dodge_Viper_ACR/39_dodge_viper_acr_engine.jpg,39_Dodge_Viper_ACR/39_dodge_viper_acr_wheels.jpg,39_Dodge_Viper_ACR/39_dodge_viper_acr_detail.jpg
40,Ford,Mustang Shelby GT350,,40_Ford_Mustang_Shelby_GT350,40_Ford_Mustang_Shelby_GT350/40_ford_mustang_shelby_gt350_hero.jpg,40_Ford_Mustang_Shelby_GT350/40_ford_mustang_shelby_gt350_front.jpg,40_Ford_Mustang_Shelby_GT350/40_ford_mustang_shelby_gt350_rear.jpg,40_Ford_Mustang_Shelby_GT350/40_ford_mustang_shelby_gt350_side.jpg,40_Ford_Mustang_Shelby_GT350/40_ford_mustang_shelby_gt350_interior.jpg,40_Ford_Mustang_Shelby_GT350/40_ford_mustang_shelby_gt350_dashboard.jpg,40_Ford_Mustang_Shelby_GT350/40_ford_mustang_shelby_gt350_engine.jpg,40_Ford_Mustang_Shelby_GT350/40_ford_mustang_shelby_gt350_wheels.jpg,40_Ford_Mustang_Shelby_GT350/40_ford_mustang_shelby_gt350_detail.jpg
41,Ford,GT,2017,41_Ford_GT_2017,41_Ford_GT_2017/41_ford_gt_2017_hero.jpg,41_Ford_GT_2017/41_ford_gt_2017_front.jpg,41_Ford_GT_2017/41_ford_gt_2017_rear.jpg,41_Ford_GT_2017/41_ford_gt_2017_side.jpg,41_Ford_GT_2017/41_ford_gt_2017_interior.jpg,41_Ford_GT_2017/41_ford_gt_2017_dashboard.jpg,41_Ford_GT_2017/41_ford_gt_2017_engine.jpg,41_Ford_GT_2017/41_ford_gt_2017_wheels.jpg,41_Ford_GT_2017/41_ford_gt_2017_detail.jpg
42,Ford,Focus RS,Mk3,42_Ford_Focus_RS_Mk3,42_Ford_Focus_RS_Mk3/42_ford_focus_rs_mk3_hero.jpg,42_Ford_Focus_RS_Mk3/42_ford_focus_rs_mk3_front.jpg,42_Ford_Focus_RS_Mk3/42_ford_focus_rs_mk3_rear.jpg,42_Ford_Focus_RS_Mk3/42_ford_focus_rs_mk3_side.jpg,42_Ford_Focus_RS_Mk3/42_ford_focus_rs_mk3_interior.jpg,42_Ford_Focus_RS_Mk3/42_ford_focus_rs_mk3_dashboard.jpg,42_Ford_Focus_RS_Mk3/42_ford_focus_rs_mk3_engine.jpg,42_Ford_Focus_RS_Mk3/42_ford_focus_rs_mk3_wheels.jpg,42_Ford_Focus_RS_Mk3/42_ford_focus_rs_mk3_detail.jpg
43,Tesla,Model S Plaid,,43_Tesla_Model_S_Plaid,43_Tesla_Model_S_Plaid/43_tesla_model_s_plaid_hero.jpg,43_Tesla_Model_S_Plaid/43_tesla_model_s_plaid_front.jpg,43_Tesla_Model_S_Plaid/43_tesla_model_s_plaid_rear.jpg,43_Tesla_Model_S_Plaid/43_tesla_model_s_plaid_side.jpg,43_Tesla_Model_S_Plaid/43_tesla_model_s_plaid_interior.jpg,43_Tesla_Model_S_Plaid/43_tesla_model_s_plaid_dashboard.jpg,43_Tesla_Model_S_Plaid/43_tesla_model_s_plaid_engine.jpg,43_Tesla_Model_S_Plaid/43_tesla_model_s_plaid_wheels.jpg,43_Tesla_Model_S_Plaid/43_tesla_model_s_plaid_detail.jpg
44,McLaren,F1,,44_McLaren_F1,44_McLaren_F1/44_mclaren_f1_hero.jpg,44_McLaren_F1/44_mclaren_f1_front.jpg,44_McLaren_F1/44_mclaren_f1_rear.jpg,44_McLaren_F1/44_mclaren_f1_side.jpg,44_McLaren_F1/44_mclaren_f1_interior.jpg,44_McLaren_F1/44_mclaren_f1_dashboard.jpg,44_McLaren_F1/44_mclaren_f1_engine.jpg,44_McLaren_F1/44_mclaren_f1_wheels.jpg,44_McLaren_F1/44_mclaren_f1_detail.jpg
45,McLaren,P1,,45_McLaren_P1,45_McLaren_P1/45_mclaren_p1_hero.jpg,45_McLaren_P1/45_mclaren_p1_front.jpg,45_McLaren_P1/45_mclaren_p1_rear.jpg,45_McLaren_P1/45_mclaren_p1_side.jpg,45_McLaren_P1/45_mclaren_p1_interior.jpg,45_McLaren_P1/45_mclaren_p1_dashboard.jpg,45_McLaren_P1/45_mclaren_p1_engine.jpg,45_McLaren_P1/45_mclaren_p1_wheels.jpg,45_McLaren_P1/45_mclaren_p1_detail.jpg
46,McLaren,720S,,46_McLaren_720S,46_McLaren_720S/46_mclaren_720s_hero.jpg,46_McLaren_720S/46_mclaren_720s_front.jpg,46_McLaren_720S/46_mclaren_720s_rear.jpg,46_McLaren_720S/46_mclaren_720s_side.jpg,46_McLaren_720S/46_mclaren_720s_interior.jpg,46_McLaren_720S/46_mclaren_720s_dashboard.jpg,46_McLaren_720S/46_mclaren_720s_engine.jpg,46_McLaren_720S/46_mclaren_720s_wheels.jpg,46_McLaren_720S/46_mclaren_720s_detail.jpg
47,Aston Martin,DBS Superleggera,,47_Aston_Martin_DBS_Superleggera,47_Aston_Martin_DBS_Superleggera/47_aston_martin_dbs_superleggera_hero.jpg,47_Aston_Martin_DBS_Superleggera/47_aston_martin_dbs_superleggera_front.jpg,47_Aston_Martin_DBS_Superleggera/47_aston_martin_dbs_superleggera_rear.jpg,47_Aston_Martin_DBS_Superleggera/47_aston_martin_dbs_superleggera_side.jpg,47_Aston_Martin_DBS_Superleggera/47_aston_martin_dbs_superleggera_interior.jpg,47_Aston_Martin_DBS_Superleggera/47_aston_martin_dbs_superleggera_dashboard.jpg,47_Aston_Martin_DBS_Superleggera/47_aston_martin_dbs_superleggera_engine.jpg,47_Aston_Martin_DBS_Superleggera/47_aston_martin_dbs_superleggera_wheels.jpg,47_Aston_Martin_DBS_Superleggera/47_aston_martin_dbs_superleggera_detail.jpg
48,Jaguar,F-Type R Coupe,,48_Jaguar_F_Type_R_Coupe,48_Jaguar_F_Type_R_Coupe/48_jaguar_f_type_r_coupe_hero.jpg,48_Jaguar_F_Type_R_Coupe/48_jaguar_f_type_r_coupe_front.jpg,48_Jaguar_F_Type_R_Coupe/48_jaguar_f_type_r_coupe_rear.jpg,48_Jaguar_F_Type_R_Coupe/48_jaguar_f_type_r_coupe_side.jpg,48_Jaguar_F_Type_R_Coupe/48_jaguar_f_type_r_coupe_interior.jpg,48_Jaguar_F_Type_R_Coupe/48_jaguar_f_type_r_coupe_dashboard.jpg,48_Jaguar_F_Type_R_Coupe/48_jaguar_f_type_r_coupe_engine.jpg,48_Jaguar_F_Type_R_Coupe/48_jaguar_f_type_r_coupe_wheels.jpg,48_Jaguar_F_Type_R_Coupe/48_jaguar_f_type_r_coupe_detail.jpg
49,Bugatti,Veyron 16.4,,49_Bugatti_Veyron_16_4,49_Bugatti_Veyron_16_4/49_bugatti_veyron_16_4_hero.jpg,49_Bugatti_Veyron_16_4/49_bugatti_veyron_16_4_front.jpg,49_Bugatti_Veyron_16_4/49_bugatti_veyron_16_4_rear.jpg,49_Bugatti_Veyron_16_4/49_bugatti_veyron_16_4_side.jpg,49_Bugatti_Veyron_16_4/49_bugatti_veyron_16_4_interior.jpg,49_Bugatti_Veyron_16_4/49_bugatti_veyron_16_4_dashboard.jpg,49_Bugatti_Veyron_16_4/49_bugatti_veyron_16_4_engine.jpg,49_Bugatti_Veyron_16_4/49_bugatti_veyron_16_4_wheels.jpg,49_Bugatti_Veyron_16_4/49_bugatti_veyron_16_4_detail.jpg
50,Koenigsegg,Jesko Attack,,50_Koenigsegg_Jesko_Attack,50_Koenigsegg_Jesko_Attack/50_koenigsegg_jesko_attack_hero.jpg,50_Koenigsegg_Jesko_Attack/50_koenigsegg_jesko_attack_front.jpg,50_Koenigsegg_Jesko_Attack/50_koenigsegg_jesko_attack_rear.jpg,50_Koenigsegg_Jesko_Attack/50_koenigsegg_jesko_attack_side.jpg,50_Koenigsegg_Jesko_Attack/50_koenigsegg_jesko_attack_interior.jpg,50_Koenigsegg_Jesko_Attack/50_koenigsegg_jesko_attack_dashboard.jpg,50_Koenigsegg_Jesko_Attack/50_koenigsegg_jesko_attack_engine.jpg,50_Koenigsegg_Jesko_Attack/50_koenigsegg_jesko_attack_wheels.jpg,50_Koenigsegg_Jesko_Attack/50_koenigsegg_jesko_attack_detail.jpg
